Expandable Memory Type,Secondary Camera Resolution,Charging Type,SIM Count,Secondary Camera,RAM Size,Battery Size,Internal Memory,Version,Screen Size,SIM Type,Display Resolution,Colour Name,Display Type,Display Resolution Type,Operating System Version,Operating System,Voice Calling Capability,Fast Charging,Network Frequency Band,Processor Name,Number of Cores,Primary Camera Feature,Flash,Model Year,Network Type,Condition,Model Number,Model Name,Primary Camera (MP),Title,Price,Brand,Rating,Product Image,Product Link,Processor Speed,Product Weight,Operating System Number,Processor Number,What's In The Box,Glass Technology,Video Recording Resolution Type,Water/Dust Properties,Finish,Product Length,Product Height,Product Width/Depth,Maximum Expandable Memory,Refresh Rates,Sensor,Camera Type,Battery Type,Pixels Per Inch,Network,Audio Jack,Wireless
No Expandable Memory,50 MP,Type-C,Dual SIM,32 MP & Above,12 GB,5200 mAh,512 GB,Middle East Version,6.78 in,Nano SIM,1284x2778,Moonlight White,OLED,FHD+,Android 14,Android,Yes,Yes,GSM/LTE/UMTS,Qualcomm Snapdragon,Octa Core,Triple,LED,2024,5G,New,"5109BFWE, ELP-NX9",HONOR 200 Pro,50+50+12 Mp,200 Pro 5G Dual SIM Moon Light White 12GB RAM + 512GB - Middle East Version,EGP 29999.00 Inclusive of VAT,Honor,N/A,"['https://f.nooncdn.com/p/pnsku/N70091785V/45/_/1720687160/8bb06ead-2f40-4675-9e7c-3bbabd3e4b3a.jpg', 'https://f.nooncdn.com/p/pnsku/N70091787V/45/_/1720687168/3c0d5687-c5c3-47eb-99b9-2ccdc42b96d7.jpg', 'https://f.nooncdn.com/p/pnsku/N70091786V/45/_/1720687158/d18e377d-e130-4654-9ea2-2177a0f1c995.jpg']",https://www.noon.com/egypt-en/200-pro-5g-dual-sim-moon-light-white-12gb-ram-512gb-middle-east-version/N70091787V/p/?o=d0a031108316558e,,,,,,,,,,,,,,,,,,,,,
,,,Dual SIM,,6 GB,6000 mAh,256 GB,Middle East Version,6.8 in,Nano SIM,,Flowing Silver,,,,,,,,,,,,,,New,CLK - LX2,X7b,,"X7b Dual SIM 6GB RAM 256GB 4G - Flowing Silver, With Honor X6 Earbuds - White",EGP 9650.00 Inclusive of VAT,Honor,5.0,"['https://f.nooncdn.com/p/pnsku/N70070457V/45/_/1715139127/834919ba-44a1-466e-bbb7-4fe8dbf8a2ae.jpg', 'https://f.nooncdn.com/p/pnsku/N70070456V/45/_/1715139123/ba9199a8-1d9c-4ba0-8c84-3022c2f63ca3.jpg', 'https://f.nooncdn.com/p/pnsku/N70070455V/45/_/1715139117/3a0372d7-bfdc-4176-84df-dcd7303dad0d.jpg']",https://www.noon.com/egypt-en/x7b-dual-sim-6gb-ram-256gb-4g-flowing-silver-with-honor-x6-earbuds-white/N70070456V/p/?o=cd9c76eff4ef546b,,,,,,,,,,,,,,,,,,,,,
No Expandable Memory,50 MP,Type-C,Dual SIM,32 MP & Above,12 GB,5200 mAh,512 GB,Middle East Version,6.7 in,Nano SIM,1284x2778,Emerald Green,OLED,FHD+,Android 14,Android,Yes,Yes,GSM/LTE/UMTS,Qualcomm Snapdragon,Octa Core,Triple,LED,2024,5G,New,"5109BFRH, ELI-NX9",HONOR 200,50+50+12 Mp,200 5G Dual SIM Emerald Green 12GB RAM + 512GB - Middle East Version,EGP 23999.00 Inclusive of VAT,Honor,N/A,"['https://f.nooncdn.com/p/pnsku/N70091784V/45/_/1720705850/7ea1f2dc-3af4-4df9-b922-8d8cea3c1650.jpg', 'https://f.nooncdn.com/p/pnsku/N70091759V/45/_/1720705289/d6e81528-749e-4a49-8d40-ad08a34fbd6b.jpg', 'https://f.nooncdn.com/p/pnsku/N70091758V/45/_/1720705248/38f31355-99d7-4bc0-a78d-e688be2ceaf4.jpg']",https://www.noon.com/egypt-en/200-5g-dual-sim-emerald-green-12gb-ram-512gb-middle-east-version/N70091759V/p/?o=de2d311a05b6daea,,,,,,,,,,,,,,,,,,,,,
MicroSD,8 MP,Type-C,Dual SIM,8 - 11.9 MP,8 GB,5000 mAh,128 GB,International Version,6.79 in,Nano SIM,,Midnight Black,IPS LCD,FHD+,,Android,,Yes,GSM/LTE,,Octa Core,Triple,LED,2023,4G,,MZB0FCOEN / 23053RN02A,Redmi 12,50+8+2MP,Redmi 12 Dual SIM Midnight Black 8GB RAM 128GB 4G - Global Version,EGP 6349.00 Inclusive of VAT,Xiaomi,4.2,"['https://f.nooncdn.com/p/v1688911944/N53414856A_1.jpg', 'https://f.nooncdn.com/p/v1688911942/N53414855A_1.jpg', 'https://f.nooncdn.com/p/v1689515174/N53414854A_1.jpg']",https://www.noon.com/egypt-en/redmi-12-dual-sim-midnight-black-8gb-ram-128gb-4g-global-version/N53414856A/p/?o=fc2885c4180dd44c,2 GHz,198.5 g,13,G88,"Redmi 12  Mobile, Adapter, Charging Cabel Type-C, Clear Cover",Gorilla Glass,1080p,Water Resistant and Dust Resistant,Glass,168.6 mm,8.17 mm,76.28 mm,1 TB,,,,,,,,
MicroSD,2 MP,Type-C,Dual SIM,Upto 4.9 MP,4 GB,5000 mAh,128 GB,Middle East Version,6.7 in,Nano SIM,1080x2400,Silver,,,,Android,,,LTE,,,,,,4G,New,SM-A057FZSGMEA / SM-A057FZSDMEA,Galaxy A05s,50+2+2 mp,Galaxy A05s Dual SIM Silver 4GB RAM 128GB 4G LTE - Middle East Version,EGP 5799.00 Inclusive of VAT,Samsung,4.2,"['https://f.nooncdn.com/p/pnsku/N70027743V/45/_/1717679039/4d899cd0-b11f-468f-a2df-a9c02b4bc73a.jpg', 'https://f.nooncdn.com/p/pnsku/N70027724V/45/_/1701414087/6cf22d8c-ec8c-40aa-bcc8-42b2d126ee16.jpg', 'https://f.nooncdn.com/p/pnsku/N70027745V/45/_/1701414084/9c11bfc4-cbbf-454e-acba-a0434bf5ec6d.jpg']",https://www.noon.com/egypt-en/galaxy-a05s-dual-sim-silver-4gb-ram-128gb-4g-lte-middle-east-version/N70027745V/p/?o=a1b9c79e9cc5db5d,,,,,Usb-c Type Cable SIM Tray Ejector Quick Start Guide,,,,,,,,1 TB,90Hz,,,,,,,
,,,Dual SIM,,6 GB,6000 mAh,256 GB,Middle East Version,6.8 in,Nano SIM,,Midnight Black,,,,,,,,,,,,,,New,CLK - LX2,X7b,,"X7b Dual SIM 6GB RAM 256GB 4G - Midnight Black, With Honor X6 Earbuds - White",EGP 9650.00 Inclusive of VAT,Honor,5.0,"['https://f.nooncdn.com/p/pnsku/N70070457V/45/_/1715139127/834919ba-44a1-466e-bbb7-4fe8dbf8a2ae.jpg', 'https://f.nooncdn.com/p/pnsku/N70070456V/45/_/1715139123/ba9199a8-1d9c-4ba0-8c84-3022c2f63ca3.jpg', 'https://f.nooncdn.com/p/pnsku/N70070455V/45/_/1715139117/3a0372d7-bfdc-4176-84df-dcd7303dad0d.jpg']",https://www.noon.com/egypt-en/x7b-dual-sim-6gb-ram-256gb-4g-midnight-black-with-honor-x6-earbuds-white/N70070455V/p/?o=acec4395fb86acad,,,,,,,,,,,,,,,,,,,,,
,,,Dual SIM,,6 GB,6000 mAh,256 GB,Middle East Version,6.8 in,Nano SIM,,Emerald Green,,,,,,,,,,,,,,New,CLK - LX2,X7b,,"X7b Dual SIM  6GB RAM 256GB 4G - Emerald Green, With Honor X6 Earbuds - White",EGP 9650.00 Inclusive of VAT,Honor,4.5,"['https://f.nooncdn.com/p/pnsku/N70070457V/45/_/1715139127/834919ba-44a1-466e-bbb7-4fe8dbf8a2ae.jpg', 'https://f.nooncdn.com/p/pnsku/N70070456V/45/_/1715139123/ba9199a8-1d9c-4ba0-8c84-3022c2f63ca3.jpg', 'https://f.nooncdn.com/p/pnsku/N70070455V/45/_/1715139117/3a0372d7-bfdc-4176-84df-dcd7303dad0d.jpg']",https://www.noon.com/egypt-en/x7b-dual-sim-6gb-ram-256gb-4g-emerald-green-with-honor-x6-earbuds-white/N70070457V/p/?o=be0b92ad992f323a,,,,,,,,,,,,,,,,,,,,,
No Expandable Memory,50 MP,Type-C,Dual SIM,32 MP & Above,12 GB,5200 mAh,512 GB,Middle East Version,6.78 in,Nano SIM,1284x2778,Ocean Cyan,OLED,FHD+,Android 14,Android,Yes,Yes,GSM/LTE/UMTS,Qualcomm Snapdragon,Octa Core,Triple,LED,2024,5G,New,5109BFWC / ELP-NX9,HONOR 200 Pro,50+50+12 Mp,200 Pro 5G Dual SIM Ocean Cyan 12GB RAM + 512GB - Middle East Version,EGP 35999.00 Inclusive of VAT,Honor,N/A,"['https://f.nooncdn.com/p/pnsku/N70091785V/45/_/1720687160/8bb06ead-2f40-4675-9e7c-3bbabd3e4b3a.jpg', 'https://f.nooncdn.com/p/pnsku/N70091787V/45/_/1720687168/3c0d5687-c5c3-47eb-99b9-2ccdc42b96d7.jpg', 'https://f.nooncdn.com/p/pnsku/N70091786V/45/_/1720687158/d18e377d-e130-4654-9ea2-2177a0f1c995.jpg']",https://www.noon.com/egypt-en/200-pro-5g-dual-sim-ocean-cyan-12gb-ram-512gb-middle-east-version/N70091786V/p/?o=b0f742f4bb4107af,,,,,,,,,,,,,,,,,,,,,
MicroSD,8 MP,Type-C,Dual SIM,8 - 11.9 MP,4 GB,5000 mAh,128 GB,Middle East Version,6.6 in,Nano SIM,,Shinny Gold,,,,Android,Yes,,LTE,Unisoc,Octa Core,,,2023,4G,New,X6525,Smart 8,13MP,Smart 8 Dual SIM Shinny Gold 4+4GB RAM 128GB 4G - Middle East Version,EGP 4299.00 Inclusive of VAT,Infinix,4.3,"['https://f.nooncdn.com/p/pnsku/N70024020V/45/_/1710700304/e85633b5-d371-401a-9d94-ef0fc56127cb.jpg', 'https://f.nooncdn.com/p/pnsku/N70024015V/45/_/1710700292/8de5d758-db7c-42ff-ba71-5e446260d1da.jpg', 'https://f.nooncdn.com/p/pnsku/N70024017V/45/_/1710700295/fddbf118-aed7-45d0-85a7-8bfb4903e3e4.jpg', 'https://f.nooncdn.com/p/pnsku/N70024016V/45/_/1710700295/5d1d5c3a-b8b7-424a-8651-a25d88a54d46.jpg']",https://www.noon.com/egypt-en/smart-8-dual-sim-shinny-gold-4-4gb-ram-128gb-4g-middle-east-version/N70024017V/p/?o=ba93f56a686b6f7d,1.6 GHz,184 g,13,Unisoc T606,"Mobile, Plug, Headset, Clear Cover, Screen protector",,,,,,75.6 mm,8.5 mm,2 TB,,"Fingerprint Scanner, Proximity Sensors, gyroscope",,,,,,
MicroSD,13 MP,Type-C,Dual SIM,12 - 15.9 MP,8 GB,5000 mAh,256 GB,Middle East Version,6.5 in,Nano SIM,,Blue/Black,,,,Android,,,LTE,,,Triple,,2023,4G,New,SM-A155FZKIMEA,BSM-A155F/2D8N,50+5+2,Galaxy A15 Dual Sim Blue Black 8GB RAM 256GB 4G - Middle East Version,EGP 8470.00 Inclusive of VAT,Samsung,4.3,"['https://f.nooncdn.com/p/pnsku/N70029835V/45/_/1706611090/c8f22b46-f214-441b-bd7f-e0c3dd63a544.jpg', 'https://f.nooncdn.com/p/pnsku/N70029854V/45/_/1707827567/900a61f0-5f7d-4c7f-8c98-069b24ac06ca.jpg', 'https://f.nooncdn.com/p/pnsku/N70029836V/45/_/1703143846/aadd366c-aa03-43ae-9516-4ac7c96bf069.jpg']",https://www.noon.com/egypt-en/galaxy-a15-dual-sim-blue-black-8gb-ram-256gb-4g-middle-east-version/N70029835V/p/?o=dd0a2c4cf5ebffbf,,,,,"USB-C Type Cable, SIM Tray Ejector, Quick Start Guide",,,,,,,,1 TB,90Hz,,,,,,,
